;;;;;;;;;;;;;;;;;;
Première année;;;;;Deuxième année;;;;;Données totales sur 2 ans;;;;;Répartition initiale troupeau;;;
Age;Total Number of Relocalisation;Number of Females;Number of Males;distribution;Age;Total Number of Relocalisation;Number of Females;Number of Males;distribution;âge;Total;Femelles;Mâles;Distribution;âge;total;Femelles;Mâles
46;33;16;17;0,013274336;46;11;8;3;0,004731183;46;44;24;20;0,009145708;46;100;50;50
47;30;13;17;0,012067578;47;21;11;10;0,009032258;47;51;24;27;0,010600707;47;116;58;58
48;35;20;15;0,014078842;48;21;12;9;0,009032258;48;56;32;24;0,011639992;48;128;64;64
49;26;11;15;0,010458568;49;19;9;10;0,008172043;49;45;20;25;0,009353565;49;102;51;51
50;21;10;11;0,008447305;50;15;6;9;0,006451613;50;36;16;20;0,007482852;50;82;41;41
51;18;9;9;0,007240547;51;5;4;1;0,002150538;51;23;13;10;0,004780711;51;52;26;26
52;14;8;6;0,005631537;52;10;5;5;0,004301075;52;24;13;11;0,004988568;52;54;27;27
53;5;4;1;0,002011263;53;9;4;5;0,003870968;53;14;8;6;0,002909998;53;32;16;16
54;9;4;5;0,003620274;54;7;4;3;0,003010753;54;16;8;8;0,003325712;54;36;18;18
55;7;4;3;0,002815768;55;6;2;4;0,002580645;55;13;6;7;0,002702141;55;29;14;14
56;6;3;3;0,002413516;56;5;3;2;0,002150538;56;11;6;5;0,002286427;56;25;12;12
57;0;0;0;0;57;4;2;2;0,00172043;57;4;2;2;0,000831428;57;9;4;4
58;4;3;1;0,00160901;58;7;4;3;0,003010753;58;11;7;4;0,002286427;58;25;12;12
59;4;2;2;0,00160901;59;0;0;0;0;59;4;2;2;0,000831428;59;9;4;4
60;4;2;2;0,00160901;60;2;2;0;0,000860215;60;6;4;2;0,001247142;60;13;6;6
61;3;1;2;0,001206758;61;3;1;2;0,001290323;61;6;2;4;0,001247142;61;13;6;6
62;2;1;1;0,000804505;62;0;0;0;0;62;2;1;1;0,000415714;62;4;2;2
63;2;1;1;0,000804505;63;2;0;2;0,000860215;63;4;1;3;0,000831428;63;9;4;4
64;1;0;1;0,000402253;64;0;0;0;0;64;1;0;1;0,000207857;64;2;1;1
65;3;3;0;0,001206758;65;2;1;1;0,000860215;65;5;4;1;0,001039285;65;11;5;5
66;0;0;0;0;66;0;0;0;0;66;0;0;0;0;66;0;0;0
67;2;0;2;0,000804505;67;1;1;0;0,000430108;67;3;1;2;0,000623571;67;6;3;3
68;1;1;0;0,000402253;68;0;0;0;0;68;1;1;0;0,000207857;68;2;1;1
69;0;0;0;0;69;0;0;0;0;69;0;0;0;0;69;0;0;0
70;2;2;0;0,000804505;70;0;0;0;0;70;2;2;0;0,000415714;70;4;2;2
total déplacé;2486;;;;;2325;;;;;4811;;;;Totaux;11000;5500;5500
;;;;;;;;;;;;;;;Total obtenu;10966;5470;5470
